Reviewed?,Sign-off,String Key,Reference (English),Used Reference (English),String Value,Comments
FALSE,,releaseInfo.sheetMusicFiles.shortcut,Download {LINK}.,Download {LINK}.,,
FALSE,,releaseInfo.sheetMusicFiles.shortcut.link,sheet music files,sheet music files,,
FALSE,,releaseInfo.midiProjectFiles.heading,Download MIDI/project files:,Download MIDI/project files:,,
FALSE,,releaseInfo.midiProjectFiles.shortcut,Download {LINK}.,Download {LINK}.,,
FALSE,,releaseInfo.midiProjectFiles.shortcut.link,MIDI/project files,MIDI/project files,,
FALSE,,trackList.section,{SECTION}:,{SECTION}:,,
FALSE,,trackList.section.withDuration,{SECTION}: ({DURATION}),{SECTION}: ({DURATION}),,
FALSE,,trackList.section.sticky,{SECTION}:,{SECTION}:,,
FALSE,,trackList.fromGroup,From {GROUP}:,From {GROUP}:,,
FALSE,,trackList.fromOther,From somewhere else:,From somewhere else:,,
FALSE,,trackList.item,{TRACK},{TRACK},,
FALSE,,trackList.item.withDuration,{DURATION} {TRACK},{DURATION} {TRACK},,
FALSE,,trackList.item.withDuration.duration,({DURATION}),({DURATION}),,
FALSE,,trackList.item.withDuration.duration.missing,_:__,_:__,,
FALSE,,trackList.item.withDuration.duration.missing.info,no duration provided; treated as zero seconds long,no duration provided; treated as zero seconds long,,
FALSE,,trackList.item.withArtists,{TRACK} {BY},{TRACK} {BY},,
FALSE,,trackList.item.withArtists.by,by {ARTISTS},by {ARTISTS},,
FALSE,,trackList.item.withArtists.featuring,feat. {ARTISTS},feat. {ARTISTS},,
FALSE,,trackList.item.withArtists.by.featuring,by {ARTISTS} feat. {FEATURING},by {ARTISTS} feat. {FEATURING},,
FALSE,,trackList.item.withDuration.withArtists,{DURATION} {TRACK} {BY},{DURATION} {TRACK} {BY},,
FALSE,,trackList.item.rerelease,{TRACK} (rerelease),{TRACK} (rerelease),,
FALSE,,misc.additionalNames.title,Additional or alternate names:,Additional or alternate names:,,
FALSE,,misc.additionalNames.tooltip,Click to view additional or alternate names,Click to view additional or alternate names,,
FALSE,,misc.additionalNames.item,{NAME},{NAME},,
FALSE,,misc.additionalNames.item.withAccent,{NAME} {ACCENT},{NAME} {ACCENT},,
FALSE,,misc.additionalNames.item.accent.withAnnotation,({ANNOTATION}),({ANNOTATION}),,
FALSE,,misc.alt.albumCover,album cover,album cover,,
FALSE,,misc.alt.albumBanner,album banner,album banner,,
FALSE,,misc.alt.trackCover,track cover,track cover,,
FALSE,,misc.alt.artistAvatar,artist avatar,artist avatar,,
FALSE,,misc.alt.flashArt,flash art,flash art,,
FALSE,,misc.artistCommentary,Artist commentary:,Artist commentary:,,
FALSE,,misc.artistCommentary.entry.title,{ARTISTS}:,{ARTISTS}:,,
FALSE,,misc.artistCommentary.entry.title.noArtists,Unknown artist,Unknown artist,,
FALSE,,misc.artistCommentary.entry.title.withAccent,{ARTISTS}: {ACCENT},{ARTISTS}: {ACCENT},,
FALSE,,misc.artistCommentary.entry.title.accent.withAnnotation,({ANNOTATION}),({ANNOTATION}),,
FALSE,,misc.artistCommentary.entry.title.date,{DATE},{DATE},,
FALSE,,misc.artistCommentary.entry.title.date.range,{DATE_RANGE},{DATE_RANGE},,
FALSE,,misc.artistCommentary.entry.title.date.accessed,accessed {DATE},accessed {DATE},,
FALSE,,misc.artistCommentary.entry.title.date.captured,captured {DATE},captured {DATE},,
FALSE,,misc.artistCommentary.entry.title.date.around,around {DATE},around {DATE},,
FALSE,,misc.artistCommentary.entry.title.date.around.range,around {DATE_RANGE},around {DATE_RANGE},,
FALSE,,misc.artistCommentary.entry.title.date.sometime.range,sometime {DATE_RANGE},sometime {DATE_RANGE},,
FALSE,,misc.artistCommentary.entry.title.date.throughout.range,throughout {DATE_RANGE},throughout {DATE_RANGE},,
FALSE,,misc.artistCommentary.entry.seeOriginalRelease,See {ORIGINAL}!,See {ORIGINAL}!,,
FALSE,,misc.artistCredit.withNormalArtists,{NORMAL},{NORMAL},,
FALSE,,misc.artistCredit.withFeaturingArtists,feat. {FEATURING},feat. {FEATURING},,
FALSE,,misc.artistCredit.withNormalArtists.withFeaturingArtists,{NORMAL} feat. {FEATURING},{NORMAL} feat. {FEATURING},,
FALSE,,misc.artistLink,{ARTIST},{ARTIST},,
FALSE,,misc.artistLink.withContribution,{ARTIST} ({CONTRIB}),{ARTIST} ({CONTRIB}),,
FALSE,,misc.artistLink.withEditsForWiki,{ARTISTS} ({EDITS}),{ARTISTS} ({EDITS}),,
FALSE,,misc.artistLink.withEditsForWiki.edits,+ edits,+ edits,,
FALSE,,misc.artistLink.withEditsForWiki.editsLine,Edits for wiki by {ARTISTS},Edits for wiki by {ARTISTS},,
FALSE,,misc.artistLink.noExternalLinkPlatformName,Other,Other,,
FALSE,,misc.artistLink.chronology.previous.symbol,←,←,,
FALSE,,misc.artistLink.chronology.previous.info,Previous by this artist,Previous by this artist,,
FALSE,,misc.artistLink.chronology.previous.info.withKind,Previous {KIND} by this artist,Previous {KIND} by this artist,,
FALSE,,misc.artistLink.chronology.next.symbol,→,→,,
FALSE,,misc.artistLink.chronology.next.info,Next by this artist,Next by this artist,,
FALSE,,misc.artistLink.chronology.next.info.withKind,Next {KIND} by this artist,Next {KIND} by this artist,,
FALSE,,misc.artistLink.chronology.kind.album,album,album,,
FALSE,,misc.artistLink.chronology.kind.bannerArt,banner art,banner art,,
FALSE,,misc.artistLink.chronology.kind.coverArt,cover art,cover art,,
FALSE,,misc.artistLink.chronology.kind.flash,flash,flash,,
FALSE,,misc.artistLink.chronology.kind.track,track,track,,
FALSE,,misc.artistLink.chronology.kind.trackArt,track art,track art,,
