Reviewed?,Sign-off,String Key,Current Reference (English),Used Reference (English),String Value,Comments
TRUE,"Niklink, Cello",releaseInfo.duration,Duration: {DURATION}.,Duration: {DURATION}.,Duración: {DURATION}.,
TRUE,"Niklink, Cello",releaseInfo.contributors,Contributors:,Contributors:,Contribuidores:,
TRUE,"Niklink, Cello",releaseInfo.lyrics,Lyrics:,Lyrics:,Letra:,
TRUE,"Niklink, Cello",releaseInfo.note,Context notes:,Context notes:,Notas de contexto:,
TRUE,"Niklink, Cello",releaseInfo.alsoReleasedAs,Also released as:,Also released as:,También lanzada como:,
TRUE,Cello,releaseInfo.alsoReleasedAs.item,{TRACK} ({ALBUM}),{TRACK} ({ALBUM}),{TRACK} ({ALBUM}),
TRUE,Cello,releaseInfo.alsoReleasedAs.item.withYear,({YEAR}) {TRACK} ({ALBUM}),({YEAR}) {TRACK} ({ALBUM}),({YEAR}) {TRACK} ({ALBUM}),
TRUE,"Niklink, Cello",releaseInfo.tracksReferenced,Tracks that {TRACK} references:,Tracks that {TRACK} references:,Pistas que {TRACK} referencia:,
FALSE,Cello,releaseInfo.tracksReferenced.sticky,Tracks that this one references:,Tracks that this one references:,Pistas que esta hace referencia:,
TRUE,"Niklink, Cello",releaseInfo.tracksSampled,Tracks that {TRACK} samples:,Tracks that {TRACK} samples:,Pistas que {TRACK} samplea:,
FALSE,Cello,releaseInfo.tracksSampled.sticky,Tracks that this one samples:,Tracks that this one samples:,Pistas que esta samplea:,
TRUE,"Niklink, Cello",releaseInfo.tracksThatReference,Tracks that reference {TRACK}:,Tracks that reference {TRACK}:,Pistas que referencian {TRACK}:,
FALSE,Cello,releaseInfo.tracksThatReference.sticky,Tracks that reference this one:,Tracks that reference this one:,Pistas que hacen referencia a esta:,
FALSE,Cello,releaseInfo.tracksThatReference.sticky.fromGroup,Tracks from {GROUP} that reference this one:,Tracks from {GROUP} that reference this one:,Pistas de {GROUP} que hacen referencia a esta:,
FALSE,Cello,releaseInfo.tracksThatReference.sticky.fromOther,Tracks from somewhere else that reference this one:,Tracks from somewhere else that reference this one:,Pistas de otras partes que hacen referencia a esta:,
TRUE,Niklink. Cello,releaseInfo.tracksThatSample,Tracks that sample {TRACK}:,Tracks that sample {TRACK}:,Pistas que samplean {TRACK}:,
FALSE,Cello,releaseInfo.tracksThatSample.sticky,Tracks that sample this one:,Tracks that sample this one:,Pistas que samplean esta:,
FALSE,Cello,releaseInfo.tracksThatSample.sticky.fromGroup,Tracks from {GROUP} that sample this one:,Tracks from {GROUP} that sample this one:,Pistas de {GROUP} que samplean esta:,
FALSE,Cello,releaseInfo.tracksThatSample.sticky.fromOther,Tracks from somewhere else that sample this one:,Tracks from somewhere else that sample this one:,Pistas de otras partes que samplean esta:,
TRUE,"Niklink, Cello",releaseInfo.flashesThatFeature,Flashes & games that feature {TRACK}:,Flashes & games that feature {TRACK}:,Flashes & juegos que incluyen {TRACK}:,
FALSE,Cello,releaseInfo.flashesThatFeature.sticky,Flashes & games that feature this track:,Flashes & games that feature this track:,Flashes & juegos que incluyen esta pista:,
TRUE,"Niklink, Cello",releaseInfo.flashesThatFeature.item,{FLASH},{FLASH},{FLASH},
TRUE,"Niklink, Cello",releaseInfo.flashesThatFeature.item.asDifferentRelease,{FLASH} (as {TRACK}),{FLASH} (as {TRACK}),{FLASH} (como {TRACK}),
FALSE,Cello,releaseInfo.referencesArtworks,References {ARTWORKS}.,References {ARTWORKS}.,Hace referencias a {ARTWORKS}.,
FALSE,Cello,releaseInfo.referencedByArtworks,Referenced by {ARTWORKS}.,Referenced by {ARTWORKS}.,Referenciado por {ARTWORKS}.,
TRUE,"Niklink, Cello",releaseInfo.tracksFeatured,Tracks that {FLASH} features:,Tracks that {FLASH} features:,Pistas que {FLASH} incluye:,
TRUE,"Niklink, Cello",releaseInfo.viewCommentary,View {LINK}!,View {LINK}!,¡Véase {LINK}!,
