Reviewed?,Sign-off,String Key,Reference (English),Used Reference (English),String Value,Comments
FALSE,ruby,trackList.fromOther,From somewhere else:,From somewhere else:,Van ergens anders:,
FALSE,ruby,trackList.item,{TRACK},{TRACK},{TRACK},
FALSE,ruby,trackList.item.withDuration,{DURATION} {TRACK},{DURATION} {TRACK},{DURATION} {TRACK},
FALSE,ruby,trackList.item.withDuration.duration,({DURATION}),({DURATION}),({DURATION}),
FALSE,ruby,trackList.item.withDuration.duration.missing,_:__,_:__,_:__,
FALSE,ruby,trackList.item.withDuration.duration.missing.info,no duration provided; treated as zero seconds long,no duration provided; treated as zero seconds long,geen lengte opgegeven; behandeld alsof het nul seconden lang is.,
FALSE,ruby,trackList.item.withArtists,{TRACK} {BY},{TRACK} {BY},{TRACK} {BY},
FALSE,ruby,trackList.item.withArtists.by,by {ARTISTS},by {ARTISTS},van {ARTISTS},
FALSE,ruby,trackList.item.withArtists.featuring,feat. {ARTISTS},feat. {ARTISTS},met {ARTISTS},
FALSE,ruby,trackList.item.withArtists.by.featuring,by {ARTISTS} feat. {FEATURING},by {ARTISTS} feat. {FEATURING},van {ARTISTS} met {FEATURING},
FALSE,ruby,trackList.item.withDuration.withArtists,{DURATION} {TRACK} {BY},{DURATION} {TRACK} {BY},{DURATION} {TRACK} {BY},
FALSE,ruby,trackList.item.rerelease,{TRACK} (rerelease),{TRACK} (rerelease),{TRACK} (re-release),
FALSE,ruby,misc.additionalNames.title,Additional or alternate names:,Additional or alternate names:,Extra of alternatieve namen:,
FALSE,ruby,misc.additionalNames.tooltip,Click to view additional or alternate names,Click to view additional or alternate names,Klik om extra of alternatieve namen te bekijken,
FALSE,ruby,misc.additionalNames.item,{NAME},{NAME},{NAME},
FALSE,ruby,misc.additionalNames.item.withAccent,{NAME} {ACCENT},{NAME} {ACCENT},{NAME} {ACCENT},
FALSE,ruby,misc.additionalNames.item.accent.withAnnotation,({ANNOTATION}),({ANNOTATION}),({ANNOTATION}),
FALSE,,misc.alt.albumCover,album cover,album cover,,
FALSE,,misc.alt.albumBanner,album banner,album banner,,
FALSE,,misc.alt.trackCover,track cover,track cover,,
FALSE,,misc.alt.artistAvatar,artist avatar,artist avatar,,
FALSE,,misc.alt.flashArt,flash art,flash art,,
FALSE,ruby,misc.artistCommentary,Artist commentary:,Artist commentary:,Artiest commentaar:,
FALSE,ruby,misc.artistCommentary.entry.title,{ARTISTS}:,{ARTISTS}:,{ARTISTS}:,
FALSE,ruby,misc.artistCommentary.entry.title.noArtists,Unknown artist,Unknown artist,Onbekende artiest,
FALSE,,misc.artistCommentary.entry.title.withAccent,{ARTISTS}: {ACCENT},{ARTISTS}: {ACCENT},,
FALSE,,misc.artistCommentary.entry.title.accent.withAnnotation,({ANNOTATION}),({ANNOTATION}),,
FALSE,,misc.artistCommentary.entry.title.date,{DATE},{DATE},,
FALSE,,misc.artistCommentary.entry.title.date.range,{DATE_RANGE},{DATE_RANGE},,
FALSE,,misc.artistCommentary.entry.title.date.accessed,accessed {DATE},accessed {DATE},,
FALSE,,misc.artistCommentary.entry.title.date.captured,captured {DATE},captured {DATE},,
FALSE,,misc.artistCommentary.entry.title.date.around,around {DATE},around {DATE},,
FALSE,,misc.artistCommentary.entry.title.date.around.range,around {DATE_RANGE},around {DATE_RANGE},,
FALSE,,misc.artistCommentary.entry.title.date.sometime.range,sometime {DATE_RANGE},sometime {DATE_RANGE},,
FALSE,,misc.artistCommentary.entry.title.date.throughout.range,throughout {DATE_RANGE},throughout {DATE_RANGE},,
FALSE,,misc.artistCommentary.entry.seeOriginalRelease,See {ORIGINAL}!,See {ORIGINAL}!,,
FALSE,,misc.artistCredit.withNormalArtists,{NORMAL},{NORMAL},,
FALSE,ruby,misc.artistCredit.withFeaturingArtists,feat. {FEATURING},feat. {FEATURING},met {FEATURING},
FALSE,ruby,misc.artistCredit.withNormalArtists.withFeaturingArtists,{NORMAL} feat. {FEATURING},{NORMAL} feat. {FEATURING},{NORMAL} met {FEATURING},
FALSE,,misc.artistLink,{ARTIST},{ARTIST},,
FALSE,,misc.artistLink.withContribution,{ARTIST} ({CONTRIB}),{ARTIST} ({CONTRIB}),,
FALSE,,misc.artistLink.withEditsForWiki,{ARTISTS} ({EDITS}),{ARTISTS} ({EDITS}),,
FALSE,,misc.artistLink.withEditsForWiki.edits,+ edits,+ edits,,
FALSE,ruby,misc.artistLink.withEditsForWiki.editsLine,Edits for wiki by {ARTISTS},Edits for wiki by {ARTISTS},Wiki-bewerkingen van {ARTISTS},
FALSE,ruby,misc.artistLink.noExternalLinkPlatformName,Other,Other,Andere,
FALSE,,misc.artistLink.chronology.previous.symbol,←,←,,
FALSE,ruby,misc.artistLink.chronology.previous.info,Previous by this artist,Previous by this artist,Vorige van deze artiest,
FALSE,,misc.artistLink.chronology.previous.info.withKind,Previous {KIND} by this artist,Previous {KIND} by this artist,,
FALSE,,misc.artistLink.chronology.next.symbol,→,→,,
FALSE,ruby,misc.artistLink.chronology.next.info,Next by this artist,Next by this artist,Volgende van deze artiest,
FALSE,,misc.artistLink.chronology.next.info.withKind,Next {KIND} by this artist,Next {KIND} by this artist,,
FALSE,ruby,misc.artistLink.chronology.kind.album,album,album,album,
FALSE,,misc.artistLink.chronology.kind.bannerArt,banner art,banner art,,
FALSE,,misc.artistLink.chronology.kind.coverArt,cover art,cover art,,
FALSE,,misc.artistLink.chronology.kind.flash,flash,flash,,
FALSE,ruby,misc.artistLink.chronology.kind.track,track,track,nummer,
FALSE,,misc.artistLink.chronology.kind.trackArt,track art,track art,,
